2172436,0,0.84,10.06,1.1875,2.0625,2.125,0,-0.25,-4.88,1,0,0.04,0
2207944,0,0.88,10.03,2.4375,0.4375,3.3125,0.060000000000002,-0.19,-4.81,1,0,0.04,0
2242316,0,0.78,10.09,6.6875,-1.5625,3.3125,0.189999999999998,-0.19,-4.63,1,0,0.04,0
2278220,-0.03,0.77,10.08,6.1875,-2.125,3.5625,0.310000000000002,-0.25,-4.44,1,0,0.04,0
2312252,-0.03,0.6,10.13,10.3125,-2,0.5625,0.310000000000002,-0.37,-4.06,1,0,0.04,0
2348180,-0.04,0.76,10.09,5.9375,-0.25,-0.125,0.310000000000002,-0.37,-3.88,1,0,0.03,0
2382968,-0.04,0.56,10.11,24.75,-0.375,-1.875,0.310000000000002,-0.37,-3.44,1,0,0.03,0
2418916,-0.04,0.38,10.1,26.8125,-0.5625,-1.375,0.25,-0.37,-2.38,1,0,0.02,0
2453452,-0.05,0.19,10.13,28.4375,-0.5625,-2.9375,0.189999999999998,-0.37,-1.63,1,0,0.01,0
2489408,-0.06,0.11,10.13,28,-0.4375,-2.25,0.060000000000002,-0.37,-0.56,1,0,0,0
2523968,-0.06,-0.13,10.11,28.0625,-0.5625,-2.375,0,-0.37,0.25,1,0,0,0
2559260,-0.06,-0.11,10.11,29.6875,-0.375,1.5625,-0.06,-0.37,1.31,1,0,-0.01,0
2594548,-0.07,-0.52,10.09,49.6875,-0.875,-0.5625,0,-0.37,2.44,1,0,-0.03,0
2630764,-0.08,-0.92,10.07,48.8125,-0.8125,0.1875,0,-0.44,4.38,1,0,-0.04,0
2665048,-0.13,-1.23,10.02,36.5625,-1,-1.625,0,-0.44,5.5,1,0,-0.05,0
2700840,-0.09,-1.23,10.05,32.75,-0.6875,-0.6875,-0.06,-0.5,6.88,1,0,-0.06,0
2735936,-0.58,-0.98,10.04,24.875,-0.9375,-2.625,0,-0.5,7.75,1,0,-0.07,0
2772124,-0.35,-1.47,9.99,21.1875,-1.3125,-4.3125,-0.19,-0.5,8.56,1,0,-0.08,0
2807096,-0.04,-1.83,9.92,28.4375,-0.875,-2.1875,-0.31,-0.5,9.31,1,0.01,-0.08,0
2842712,-0.09,-1.79,9.92,29.5625,-0.5625,-1.125,-0.37,-0.56,10.44,1,0.01,-0.09,0
2877028,-0.1,-1.95,9.89,34.125,-3.125,-9.75,-0.44,-0.56,11.38,0.99,0.01,-0.1,0
2913188,-0.11,-2.27,9.84,24.75,-3.25,-11.0625,-0.88,-0.56,12.56,0.99,0.01,-0.11,-0.01
2947584,-0.12,-2.37,9.79,23.0625,-2.0625,-6.875,-1.19,-0.56,13.19,0.99,0.01,-0.12,-0.01
2982732,-0.15,-2.44,9.8,25.5625,-1.6875,-4.6875,-1.37,-0.63,14.13,0.99,0.01,-0.12,-0.01
